CompoundName,MolecularFormula,ExactMass,MonoMass,SMILES,kingdom,superklass,klass,subklass
Dimethyl sulfoxide,C2H6OS,78.01393599,78.0139355,CS(C)=O,Organic compounds,Organosulfur compounds,Sulfoxides,NULL
Pyridine,C5H5N,79.04219917,79.04219917,C1=CC=NC=C1,NULL,NULL,NULL,NULL
Pyrazine,C4H4N2,80.03744814,80.03744814,C1=CN=CC=N1,NULL,NULL,NULL,NULL
1-Methylpyrrole,C5H7N,81.05784923,81.05784923,CN1C=CC=C1,Organic compounds,Organoheterocyclic compounds,Pyrroles,Substituted pyrroles
2-Methylfuran,C5H6O,82.04186481,82.04186481,CC1=CC=CO1,NULL,NULL,NULL,NULL
3-Methylbutanonitrile,C5H9N,83.07349929,83.07349929,CC(C)CC#N,NULL,NULL,NULL,NULL
4-Methyl-2-pyrroline,C5H9N,83.07349929,83.07349929,CC1CNC=C1,NULL,NULL,NULL,NULL
Pentanenitrile,C5H9N,83.07349929,83.07349929,CCCCC#N,NULL,NULL,NULL,NULL
1-Penten-3-one,C5H8O,84.05751488,84.05751488,CCC(=O)C=C,Organic compounds,Organooxygen compounds,Carbonyl compounds,"Alpha,beta-unsaturated carbonyl compounds"
3-Methyl-2-butenal,C5H8O,84.05751488,84.05751488,CC(C)=CC=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,"Alpha,beta-unsaturated carbonyl compounds"
Cyclopentanone,C5H8O,84.05751488,84.05751488,O=C1CCCC1,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
Tiglic aldehyde,C5H8O,84.05751488,84.05751488,C\C=C(\C)C=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,"Alpha,beta-unsaturated carbonyl compounds"
(E)-2-Pentenal,C5H8O,84.05751488,84.05751488,CC\C=C/C=O,NULL,NULL,NULL,NULL
2-3-Dihydro-4-methylfuran,C5H8O,84.05751488,84.05751488,CC1=COCC1,NULL,NULL,NULL,NULL
2-Methyl-2-butenal,C5H8O,84.05751488,84.05751488,C\C=C(\C)C=O,NULL,NULL,NULL,NULL
2-Methylbut-2-en-1-al,C5H8O,84.05751488,84.05751488,[H]\C(C)=C(\C)C=O,NULL,NULL,NULL,NULL
2-Pentenal,C5H8O,84.05751488,84.05751488,CC\C=C/C=O,NULL,NULL,NULL,NULL
3-Methyl-3-buten-2-one,C5H8O,84.05751488,84.05751488,CC(=C)C(C)=O,NULL,NULL,NULL,NULL
3-Penten-2-one,C5H8O,84.05751488,84.05751488,C\C=C/C(C)=O,NULL,NULL,NULL,NULL
4-Penten-2-one,C5H8O,84.05751488,84.05751488,CC(=O)CC=C,NULL,NULL,NULL,NULL
trans-2-pentenal,C5H8O,84.05751488,84.05751488,CCC=CC=O,NULL,NULL,NULL,NULL
xi-2-3-Dihydro-3-methylfuran,C5H8O,84.05751488,84.05751488,CC1COC=C1,NULL,NULL,NULL,NULL
acetone cyanohydrin,C4H7NO,85.05276385,85.05276385,CC(C)(O)C#N,NULL,NULL,NULL,NULL
Piperidine,C5H11N,85.08914936,85.08914936,C1CCNCC1,Organic compounds,Organoheterocyclic compounds,Piperidines,NULL
2-3-Butanedione,C4H6O2,86.03677943,86.03677944,CC(=O)C(C)=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
gamma-Butyrolactone,C4H6O2,86.03677943,86.03677944,O=C1CCCO1,Organic compounds,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
Methacrylic acid,C4H6O2,86.03677943,86.03677944,CC(=C)C(O)=O,NULL,NULL,NULL,NULL
1-Penten-3-ol,C5H10O,86.07316494,86.07316494,CCC(O)C=C,Organic compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols
2-Pentanone,C5H10O,86.07316494,86.07316494,CCCC(C)=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
3-Methylbutanal,C5H10O,86.07316494,86.07316494,CC(C)CC=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes
Pentanal,C5H10O,86.07316494,86.07316494,CCCCC=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes
(E)-2-Penten-1-ol,C5H10O,86.07316494,86.07316494,CC\C=C/CO,NULL,NULL,NULL,NULL
2-Methylbutanal,C5H10O,86.07316494,86.07316494,CCC(C)C=O,NULL,NULL,NULL,NULL
2-Methyl-2-buten-1-ol,C5H10O,86.07316494,86.07316494,C\C=C(/C)CO,NULL,NULL,NULL,NULL
2-Penten-1-ol,C5H10O,86.07316494,86.07316494,CC\C=C/CO,NULL,NULL,NULL,NULL
3-Methyl-3-butenol,C5H10O,86.07316494,86.07316494,CC(=C)CCO,NULL,NULL,NULL,NULL
3-Pentanone,C5H10O,86.07316494,86.07316494,CCC(=O)CC,NULL,NULL,NULL,NULL
3-penten-2-ol,C5H10O,86.07316494,86.07316494,[H]\C(C)=C(\[H])C(C)O,NULL,NULL,NULL,NULL
Cyclopentanol,C5H10O,86.07316494,86.07316494,OC1CCCC1,NULL,NULL,NULL,NULL
Isoprenyl alcohol,C5H10O,86.07316494,86.07316494,CC(C)(O)C=C,NULL,NULL,NULL,NULL
Methylisopropyl ketone,C5H10O,86.07316494,86.07316494,CC(C)C(C)=O,NULL,NULL,NULL,NULL
Pent-cis-2-en-1-ol,C5H10O,86.07316494,86.07316494,CC\C=C/CO,NULL,NULL,NULL,NULL
Pentenol,C5H10O,86.07316494,86.07316494,OCCCC=C,NULL,NULL,NULL,NULL
Prenol,C5H10O,86.07316494,86.07316494,CC(C)=CCO,NULL,NULL,NULL,NULL
trans-2-pentenol,C5H10O,86.07316494,86.07316494,CCC=CCO,NULL,NULL,NULL,NULL
xi-3-Methyl-3-buten-2-ol,C5H10O,86.07316494,86.07316494,CC(O)C(C)=C,NULL,NULL,NULL,NULL
Ethyl isothiocyanate,C3H5NS,87.01427034,87.01426986,CCN=C=S,NULL,NULL,NULL,NULL
2-Aminoacrylic acid,C3H5NO2,87.0320284,87.03202841,NC(=C)C(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
2-aminoacrylate,C3H5NO2,87.0320284,87.03202841,NC(=C)C(O)=O,NULL,NULL,NULL,NULL
3-Isoxazolidinone,C3H5NO2,87.0320284,87.03202841,O=C1CCON1,NULL,NULL,NULL,NULL
4-Aminobutyraldehyde,C4H9NO,87.06841391,87.06841392,NCCCC=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes
3-Methyl-1-butylamine,C5H13N,87.10479942,87.10479942,CC(C)CCN,NULL,NULL,NULL,NULL
AML 1,C5H13N,87.10479942,87.10479942,CCCCCN,NULL,NULL,NULL,NULL
Pentylamine,C5H13N,87.10479942,87.10479942,CCCCCN,NULL,NULL,NULL,NULL
Malonic semialdehyde,C3H4O3,88.01604399,88.01604399,OC(=O)CC=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,"1,3-dicarbonyl compounds"
pyruvate,C3H4O3,88.01604399,88.01604399,CC(=O)C(O)=O,NULL,NULL,NULL,NULL
1-Hydroxy-2-butanone,C4H8O2,88.0524295,88.0524295,CCC(=O)CO,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
Acetoin,C4H8O2,88.0524295,88.0524295,CC(O)C(C)=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Acyloins
2-Methylpropanoic acid,C4H8O2,88.0524295,88.0524295,CC(C)C(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acids
Ethyl acetate,C4H8O2,88.0524295,88.0524295,CCOC(C)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
Isopropyl formate,C4H8O2,88.0524295,88.0524295,CC(C)OC=O,NULL,NULL,NULL,NULL
Methyl propionate,C4H8O2,88.0524295,88.0524295,CCC(=O)OC,NULL,NULL,NULL,NULL
n-butanoate,C4H8O2,88.0524295,88.0524295,CCCC(O)=O,NULL,NULL,NULL,NULL
Propyl formate,C4H8O2,88.0524295,88.0524295,CCCOC=O,NULL,NULL,NULL,NULL
(S)-2-Methyl-1-butanol,C5H12O,88.08881501,88.08881501,CCC(C)CO,Organic compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols
1-Pentanol,C5H12O,88.08881501,88.08881501,CCCCCO,Organic compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols
Isopentyl alcohol,C5H12O,88.08881501,88.08881501,CC(C)CCO,Organic compounds,Organooxygen compounds,Alcohols and polyols,Primary alcohols
xi-2-Pentanol,C5H12O,88.08881501,88.08881501,CCCC(C)O,Organic compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols
2-Methyl-1-butanol,C5H12O,88.08881501,88.08881501,CCC(C)CO,NULL,NULL,NULL,NULL
2-Methyl-2-butanol,C5H12O,88.08881501,88.08881501,CCC(C)(C)O,NULL,NULL,NULL,NULL
3-Methyl-2-butanol,C5H12O,88.08881501,88.08881501,CC(C)C(C)O,NULL,NULL,NULL,NULL
3-pentanol,C5H12O,88.08881501,88.08881501,CCC(O)CC,NULL,NULL,NULL,NULL
Putrescine,C4H12N2,88.1000484,88.10004839,NCCCCN,Organic compounds,Organonitrogen compounds,Amines,Primary amines
Putresine,C4H12N2,88.1000484,88.10004839,NCCCCN,NULL,NULL,NULL,NULL
3-Aminopropanoic acid,C3H7NO2,89.04767847,89.04767847,NCCC(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
L-Alanine,C3H7NO2,89.04767847,89.04767847,C[C@H](N)C(O)=O,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
(卤)-Alanine,C3H7NO2,89.04767847,89.04767847,CC(N)C(O)=O,NULL,NULL,NULL,NULL
Sarkosin,C3H7NO2,89.04767847,89.04767847,CNCC(O)=O,NULL,NULL,NULL,NULL
oxalate,C2H2O4,89.99530854,89.99530855,OC(=O)C(O)=O,NULL,NULL,NULL,NULL
1-propenylsulfenate,C3H6OS,90.01393599,90.0139355,C\C=C\SO,NULL,NULL,NULL,NULL
allylsulfenate,C3H6OS,90.01393599,90.01393599,OSCC=C,NULL,NULL,NULL,NULL
(E)-1-Propene-1-sulfenic acid,C3H6OS,90.01393599,90.0139355,C\C=C\SO,Organic compounds,Organic acids and derivatives,Sulfenic acids and derivatives,Sulfenic acids
Thial-1-Propene-1-thiol S-oxide,C3H6OS,90.01393599,90.0139355,CCC=S=O,Organic compounds,Organosulfur compounds,Thiocarbonyl compounds,Thioaldehydes
S-Methyl thioacetate,C3H6OS,90.01393599,90.0139355,CSC(C)=O,Organic compounds,Organic acids and derivatives,Thiocarboxylic acids and derivatives,Thioesters
D-Lactic acid,C3H6O3,90.03169405,90.03169406,C[C@H](O)C(O)=O,Organic compounds,Organic acids and derivatives,Hydroxy acids and derivatives,Alpha hydroxy acids and derivatives
(R)-lactate,C3H6O3,90.03169405,90.03169406,C[C@@H](O)C(O)=O,NULL,NULL,NULL,NULL
3-hydroxypropionate,C3H6O3,90.03169405,90.03169406,OCCC(O)=O,NULL,NULL,NULL,NULL
D-glyceraldehyde,C3H6O3,90.03169405,90.03169406,OC[C@@H](O)C=O,NULL,NULL,NULL,NULL
dihydroxyacetone,C3H6O3,90.03169405,90.03169406,OCC(=O)CO,NULL,NULL,NULL,NULL
DL-Lactic acid,C3H6O3,90.03169405,90.03169406,CC(O)C(O)=O,NULL,NULL,NULL,NULL
Lactic acid,C3H6O3,90.03169405,90.03169406,CC(O)C(O)=O,NULL,NULL,NULL,NULL
1-3-Butanediol,C4H10O2,90.06807956,90.06807956,CC(O)CCO,Organic compounds,Organooxygen compounds,Alcohols and polyols,Secondary alcohols
2-3-Butanediol,C4H10O2,90.06807956,90.06807956,CC(O)C(C)O,Organic compounds,Organooxygen compounds,Alcohols and polyols,Polyols
2R-3R-Butanediol,C4H10O2,90.06807956,90.06807956,C[C@@H](O)[C@@H](C)O,Organic compounds,Organooxygen compounds,Alcohols and polyols,Polyols
1-1-Dimethoxyethane,C4H10O2,90.06807956,90.06807956,COC(C)OC,NULL,NULL,NULL,NULL
2-(Methylthio)ethanol,C3H8OS,92.02958605,92.02958557,CSCCO,Organic compounds,Organosulfur compounds,Thioethers,Dialkylthioethers
Glycerol,C3H8O3,92.04734412,92.04734412,OCC(O)CO,Organic compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,Sugar alcohols
Aniline,C6H7N,93.05784923,93.05784923,NC1=CC=CC=C1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Anilines
2-Methylpyridine,C6H7N,93.05784923,93.05784923,CC1=NC=CC=C1,NULL,NULL,NULL,NULL
3-Methylpyridine,C6H7N,93.05784923,93.05784923,CC1=CC=CN=C1,NULL,NULL,NULL,NULL
4-Methylpyridine,C6H7N,93.05784923,93.05784923,CC1=CC=NC=C1,NULL,NULL,NULL,NULL
Dimethyl sulfone,C2H6O2S,94.00885061,94.00885013,CS(C)(=O)=O,Organic compounds,Organosulfur compounds,Sulfonyls,Sulfones
Phenol,C6H6O,94.04186481,94.04186481,OC1=CC=CC=C1,Organic compounds,Benzenoids,Benzene and substituted derivatives,Phenols and derivatives
Methylpyrazine,C5H6N2,94.0530982,94.0530982,CC1=CN=CC=N1,Organic compounds,Organoheterocyclic compounds,Diazines,Pyrazines
1H-Pyrrole-2-carboxaldehyde,C5H5NO,95.03711379,95.03711379,O=CC1=CC=CN1,NULL,NULL,NULL,NULL
2-5-Dimethylfuran,C6H8O,96.05751488,96.05751488,CC1=CC=C(C)O1,Organic compounds,Organoheterocyclic compounds,Heteroaromatic compounds,NULL
(E-E)-2-4-Hexadienal,C6H8O,96.05751488,96.05751488,C\C=C\C=C/C=O,NULL,NULL,NULL,NULL
2-4-Dimethylfuran,C6H8O,96.05751488,96.05751488,CC1=CC(C)=CO1,NULL,NULL,NULL,NULL
2-4-Hexadienal,C6H8O,96.05751488,96.05751488,C\C=C\C=C/C=O,NULL,NULL,NULL,NULL
2-Ethylfuran,C6H8O,96.05751488,96.05751488,CCC1=CC=CO1,NULL,NULL,NULL,NULL
3-Ethylfuran,C6H8O,96.05751488,96.05751488,CCC1=COC=C1,NULL,NULL,NULL,NULL
3-Methyl-2-cyclopenten-1-one,C6H8O,96.05751488,96.05751488,CC1=CC(=O)CC1,NULL,NULL,NULL,NULL
Dimethyl furan,C6H8O,96.05751488,96.05751488,CC1=C(C)C=CO1,NULL,NULL,NULL,NULL
Hexa-trans-2-cis-4-dien-1-al,C6H8O,96.05751488,96.05751488,[H]\C(C)=C(/[H])\C(\[H])=C(/[H])C=O,NULL,NULL,NULL,NULL
4-5-Dimethyloxazole,C5H7NO,97.05276385,97.05276385,CC1=C(C)N=CO1,NULL,NULL,NULL,NULL
Hexanenitrile,C6H11N,97.08914936,97.08914936,CCCCCC#N,NULL,NULL,NULL,NULL
5-Methyl-2(3H)-furanone,C5H6O2,98.03677943,98.03677944,CC1OC(=O)C=C1,Organic compounds,Organoheterocyclic compounds,Dihydrofurans,Furanones
2-Furanmethanol,C5H6O2,98.03677943,98.03677944,OCC1=CC=CO1,Organic compounds,Organoheterocyclic compounds,Heteroaromatic compounds,NULL
5-Hydroxy-4-pentenoic acid d-lactone,C5H6O2,98.03677943,98.03677944,O=C1CCC=CO1,NULL,NULL,NULL,NULL
(Z)-3-Hexenal,C6H10O,98.07316494,98.07316494,CC\C=C/CC=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes
4-Hexen-3-one,C6H10O,98.07316494,98.07316494,CCC(=O)\C=C\C,Organic compounds,Organooxygen compounds,Carbonyl compounds,"Alpha,beta-unsaturated carbonyl compounds"
4-Methyl-3-penten-2-one- 9CI,C6H10O,98.07316494,98.07316494,CC(C)=CC(C)=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,"Alpha,beta-unsaturated carbonyl compounds"
Cyclohexanone,C6H10O,98.07316494,98.07316494,O=C1CCCCC1,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
(Z)-4-Hexenal,C6H10O,98.07316494,98.07316494,C\C=C\CCC=O,NULL,NULL,NULL,NULL
2-4-Hexadien-1-ol,C6H10O,98.07316494,98.07316494,CC=CC=CCO,NULL,NULL,NULL,NULL
2-Hexenal,C6H10O,98.07316494,98.07316494,CCCC=CC=O,NULL,NULL,NULL,NULL
2-Methyl-2-pentenal,C6H10O,98.07316494,98.07316494,CC\C=C(\C)C=O,NULL,NULL,NULL,NULL
Hex-cis-3-en-1-al,C6H10O,98.07316494,98.07316494,[H]\C(CC)=C(\[H])CC=O,NULL,NULL,NULL,NULL
Hex-trans-2-en-1-al,C6H10O,98.07316494,98.07316494,[H]\C(CCC)=C(\[H])C=O,NULL,NULL,NULL,NULL
Hexen-2-al,C6H10O,98.07316494,98.07316494,CCCC=CC=O,NULL,NULL,NULL,NULL
trans-2-hexenal,C6H10O,98.07316494,98.07316494,CCCC=CC=O,NULL,NULL,NULL,NULL
4-Methylthiazole,C4H5NS,99.01427034,99.01426986,CC1=CSC=N1,Organic compounds,Organoheterocyclic compounds,Azoles,Thiazoles
5-Methylthiazole,C4H5NS,99.01427034,99.01426986,CC1=CN=CS1,Organic compounds,Organoheterocyclic compounds,Azoles,Thiazoles
3-Isothiocyanato-1-propene,C4H5NS,99.01427034,99.01426986,C=CCN=C=S,Organic compounds,Organosulfur compounds,Isothiocyanates,NULL
Thiiraneacetonitrile,C4H5NS,99.01427034,99.01426986,N#CCC1CS1,NULL,NULL,NULL,NULL
(R)-Dihydromaleimide,C4H5NO2,99.0320284,99.03202841,OC1C=CC(O)=N1,NULL,NULL,NULL,NULL
(2R)-2-hydroxy-2-methylbutanenitrile,C5H9NO,99.06841391,99.06841392,CC[C@@](C)(O)C#N,NULL,NULL,NULL,NULL
Hydantoin,C3H4N2O2,100.0272774,100.0272774,O=C1CNC(=O)N1,NULL,NULL,NULL,NULL
2-3-Pentanedione,C5H8O2,100.0524295,100.0524295,CCC(=O)C(C)=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
2-4-Pentanedione,C5H8O2,100.0524295,100.0524295,CC(=O)CC(C)=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,"1,3-dicarbonyl compounds"
Ethyl acrylate,C5H8O2,100.0524295,100.0524295,CCOC(=O)C=C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
Methyl methacrylate,C5H8O2,100.0524295,100.0524295,COC(=O)C(C)=C,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives
3-Methyl-2-butenoic acid,C5H8O2,100.0524295,100.0524295,CC(C)=CC(O)=O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
Angelic acid,C5H8O2,100.0524295,100.0524295,C\C=C(\C)C(O)=O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
Tiglic acid,C5H8O2,100.0524295,100.0524295,C\C=C(\C)C(O)=O,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
2-Butenoic acid methyl ester,C5H8O2,100.0524295,100.0524295,[H]\C(C)=C(\[H])C(=O)OC,NULL,NULL,NULL,NULL
2-Methyl-gamma-butyrolactone,C5H8O2,100.0524295,100.0524295,CC1CCOC1=O,NULL,NULL,NULL,NULL
3-methyl-4-cis-hydroxy-2-butenal,C5H8O2,100.0524295,100.0524295,[H]\C(C=O)=C(/C)CO,NULL,NULL,NULL,NULL
3-methyl-4-trans-hydroxy-2-butenal,C5H8O2,100.0524295,100.0524295,CC(CO)=CC=O,NULL,NULL,NULL,NULL
xi-Dihydro-4-methyl-2(3H)-furanone,C5H8O2,100.0524295,100.0524295,CC1COC(=O)C1,NULL,NULL,NULL,NULL
Gyromitrin,C4H8N2O,100.0636629,100.0636629,C\C=N/N(C)C=O,NULL,NULL,NULL,NULL
N-Nitroso-pyrrolidine,C4H8N2O,100.0636629,100.0636629,O=NN1CCCC1,Organic compounds,Organoheterocyclic compounds,Pyrrolidines,NULL
2-Hexanone,C6H12O,100.088815,100.088815,CCCCC(C)=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
4-Methyl-2-pentanone,C6H12O,100.088815,100.088815,CC(C)CC(C)=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Ketones
Hexanal,C6H12O,100.088815,100.088815,CCCCCC=O,Organic compounds,Organooxygen compounds,Carbonyl compounds,Aldehydes
(Z)-2-Hexen-1-ol,C6H12O,100.088815,100.088815,CCC\C=C\CO,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
3-Hexen-1-ol,C6H12O,100.088815,100.088815,CC\C=C/CCO,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty alcohols
(E)-2-Hexen-1-ol,C6H12O,100.088815,100.088815,CCC\C=C\CO,NULL,NULL,NULL,NULL
(E)-3-Hexen-1-ol,C6H12O,100.088815,100.088815,CC\C=C/CCO,NULL,NULL,NULL,NULL
(E)-4-Hexen-1-ol,C6H12O,100.088815,100.088815,C\C=C/CCCO,NULL,NULL,NULL,NULL
(Z)-3-Hexen-1-ol,C6H12O,100.088815,100.088815,CC\C=C/CCO,NULL,NULL,NULL,NULL
